att,rlx,del,the,lal,hal,hbe,lbe,lga,mga,result
40,51,14454,10357,6576,6445,5677,4256,1016,697,right
75,97,15264,3857,10883,10078,4735,13103,1802,964,right
56,69,23138,27181,10456,6766,3435,7948,1842,1367,right
47,67,25452,13637,6151,27255,4812,14992,3965,2917,right
77,78,26284,23996,12320,19563,7883,7413,2185,1684,right
74,83,26974,22843,11895,14570,7794,9807,2411,1950,right
61,80,31876,19077,21909,6174,4081,11030,3015,1084,right
51,61,32285,13213,13975,3775,6401,10466,2516,2470,right
67,84,35156,42176,8429,19041,9322,18325,4731,1302,right
35,57,35981,91948,10018,10778,12984,7163,5341,3111,right
48,84,36958,16889,7104,31631,6658,9793,3898,1011,right
43,69,39356,23128,6580,8223,5227,5773,1303,809,right
57,94,40321,32145,43693,15603,6973,2537,2048,1862,right
54,78,40852,24994,31253,17234,6920,23581,6073,3244,right
67,97,41018,14780,12094,13987,8635,8064,2322,2181,right
23,57,41606,90353,36766,7065,10241,22306,5252,1352,right
50,77,41780,57085,3436,14175,5168,5628,2125,1848,right
41,53,41923,31762,3751,7088,4620,12879,3443,1383,right
51,67,42014,28192,18339,19251,9242,21613,5031,2729,right
61,83,42700,47741,16943,15947,8732,17067,4700,3781,right
51,80,43128,58985,30872,9651,5004,10106,3477,1412,right
69,87,43154,25564,4967,9597,3367,18544,5785,2100,right
48,91,44342,16646,16783,5406,5302,5046,2250,1061,right
53,74,44615,8747,6653,2750,9069,5588,1893,1490,right
63,78,44733,44290,12488,10204,6274,10116,1907,1327,right
61,80,44833,11625,6680,7833,6991,5358,2251,1436,right
66,87,46160,64035,34749,8813,9023,11322,5386,2279,right
57,69,47405,25656,7733,9135,7309,13659,4625,1245,right
64,83,47956,14536,34483,8088,10194,27628,2826,855,right
24,83,48532,74741,6619,16508,4694,8493,3300,2221,right
60,90,48767,25709,17054,3895,3326,2920,4610,1508,right
43,74,49086,61384,7223,12241,7689,13287,3070,4369,right
60,74,49416,62331,21472,25504,7236,12903,744,1894,right
43,74,49642,13433,17098,12215,7385,9897,2479,1200,right
48,94,49940,14009,34862,26886,8455,10628,2888,1489,right
56,81,50265,7080,25087,9903,5934,5446,1916,3672,right
56,74,50462,85752,9959,32287,10649,15071,3014,2355,right
40,75,50963,16423,419,4894,5439,5582,2020,1980,right
47,64,54237,54729,16291,20069,9630,14763,3481,2159,right
56,70,54905,19889,15338,5885,5465,6109,8400,1500,right
51,57,54993,26259,24492,16104,3993,15001,2840,1970,right
47,63,55224,21130,11164,12017,6228,5434,3266,2798,right
74,81,55268,18678,7944,10164,3983,13600,4481,1775,right
78,78,55773,51232,18378,21252,10634,21828,2367,2936,right
50,67,56534,14882,19503,6327,10842,10520,4762,3519,right
44,87,57163,16059,18502,17598,3286,11363,2478,1969,right
