att,rlx,del,the,lal,hal,hbe,lbe,lga,mga,result
43,30,23,1,51798,8648,1,1,3488,4249,left
48,51,730961,1,33486,34718,2348,3281,5095,4459,left
48,53,154165,177130,35666,3844,14322,20530,4735,2981,left
48,53,98877,117440,15226,15963,19772,12693,8568,5143,left
48,70,98515,53096,42737,48719,11943,14371,6944,3540,left
43,40,409230,197346,9930,8361,14729,10754,802,1458,left
47,50,401992,132153,10342,26293,2566,4235,3408,3430,left
48,67,116013,61100,8258,20328,4367,50858,6296,3129,left
51,74,453283,99642,18596,14672,5021,10415,4735,3765,left
57,100,213377,62633,56967,13199,9471,36874,5507,4539,left
60,91,135593,247964,58186,38731,11397,10273,9114,4687,left
67,97,244633,147595,5726,49610,9613,10562,5050,1603,left
66,75,73614,156392,46016,6948,15012,13711,4510,1385,left
67,69,373608,93477,11097,11741,10743,13963,5428,2318,left
69,83,154292,76118,49492,20938,6393,9094,3561,2803,left
64,75,241762,72828,21602,3140,15964,17836,2838,2720,left
63,100,180431,69759,25897,8129,10795,16982,5113,1284,left
57,97,150158,137682,32609,16285,12362,13576,7053,3187,left
51,96,255245,71495,24312,12477,9734,10009,4728,3840,left
56,74,223420,62429,13048,21267,4198,25187,2629,2972,left
53,41,85918,51272,8333,21257,3705,18737,4037,1071,left
53,44,72795,34247,21970,27611,7311,10314,6791,4156,left
50,27,140341,87270,12188,7817,5196,21613,4054,4844,left
44,20,109785,76558,6642,19516,11686,20173,2595,5101,left
51,29,99969,104886,25312,26178,5806,43005,2847,4551,left
47,35,122808,135938,20041,34907,9647,13382,3661,5666,left
53,37,532444,124411,3007,10407,7670,12458,2300,6858,left
54,47,965687,221099,27375,9972,6586,30535,5201,3376,left
47,66,462884,141220,97598,18840,15415,57683,3063,2659,left
50,69,246420,119336,11884,8943,9109,15650,4362,2433,left
53,84,273752,207569,5361,18807,6377,14813,3847,4698,left
54,100,174120,74358,49160,15254,7097,12880,6370,1993,left
61,100,158228,138013,125696,13151,4983,23097,5209,2783,left
64,83,86575,84944,29040,33781,15506,20373,6046,4448,left
51,69,130002,205257,61557,72067,16428,8728,8658,4254,left
47,51,165185,96821,1888,34973,15361,19570,4495,3834,left
40,51,191125,141202,12649,36573,9533,23716,3024,1207,left
40,54,232120,104709,24965,43900,17189,18929,4594,1964,left
51,57,140861,180757,23687,25042,6577,53151,5040,2042,left
61,61,73909,191644,30198,13120,4541,30838,10385,2803,left
61,50,91313,114966,22501,13486,6295,12769,5410,2907,left
