att,rlx,del,the,lal,hal,hbe,lbe,lga,mga,result
43,48,93162,31274,22812,4852,4259,4405,2507,4287,up
48,38,240682,152642,34285,16362,10415,5941,4522,2387,up
43,51,20195,10601,4006,19703,10065,10944,4349,2693,up
41,61,36903,32115,29725,7017,9968,18729,1236,3044,up
38,57,151949,11691,1289,2710,2085,1243,1053,280,up
40,60,50470,47662,22257,22746,6061,6157,2470,2026,up
63,51,82339,28812,19292,6776,4936,5558,4957,2111,up
56,63,94234,55161,16482,31140,10450,28918,5200,5187,up
64,77,21923,26833,3974,8535,5647,8577,3205,2978,up
70,96,8353,9519,12017,3933,9113,13585,3273,2418,up
48,87,7144,16095,20313,23857,3251,10370,5461,1539,up
66,80,23388,6789,20571,15986,8869,17461,3164,1811,up
60,60,18356,9434,12761,6129,7038,9156,2420,1600,up
47,64,63896,40605,8564,7273,3104,3359,2565,1628,up
61,94,12962,6360,13278,7134,6535,7205,3439,1765,up
48,74,83664,34055,10290,7745,6394,6526,3817,1923,up
50,96,51816,21300,24850,9814,5397,10005,4297,2909,up
64,83,31273,4679,12983,16780,6252,10718,4057,1252,up
74,56,65908,28586,10077,4656,3552,8601,1539,2122,up
90,56,29283,13197,21252,3639,5655,4362,4005,1481,up
91,60,14456,10354,4577,8893,6972,8052,2995,5065,up
78,70,8401,13835,6486,8665,9913,16277,2484,1343,up
70,74,13471,11976,6702,4677,6511,10627,2799,1063,up
61,83,26377,2686,23344,2276,5014,8195,1635,1607,up
74,57,33166,10517,17618,14543,4122,14852,1631,1424,up
80,34,28843,16480,6120,5535,5285,6097,4331,1128,up
83,40,11252,18844,12614,8972,5536,4995,1717,2671,up
80,38,32566,22301,7105,16119,18596,10198,3111,1350,up
66,63,6351,17632,4960,5022,4283,10620,3465,2215,up
66,83,20404,6437,8805,5150,4771,11697,3629,2511,up
66,87,10041,21031,11482,8693,4180,4722,3132,2024,up
69,88,14205,3816,10937,19433,5470,11124,3028,1382,up
78,78,4570,11264,10135,8089,4865,6185,3513,3402,up
84,69,38138,8623,11090,3612,5818,6423,3314,2261,up
77,84,21196,17079,6107,25914,6530,23902,3350,2337,up
70,78,15457,6602,7963,10312,7583,6255,2172,1134,up
54,67,16896,9011,5172,14411,6976,17091,4447,3803,up
50,75,35363,10817,22909,8402,5844,3826,2261,2049,up
37,67,7835,26046,10581,6754,3912,5997,2623,2710,up
56,67,14729,20830,10487,6853,3439,7735,1346,3817,up
75,54,12624,27981,19514,12701,9984,4568,4928,898,up
70,37,32216,16474,13786,12190,2200,5266,1559,1891,up
80,14,6067,8451,6718,8948,9665,12815,1684,1492,up
77,11,20018,21194,921,11116,11446,7613,2621,1337,up
70,34,21559,29816,11970,1392,5977,10180,2972,1862,up
77,66,247142,32173,15576,2985,4814,13767,7480,3864,up
83,77,12710,9979,1851,6741,6465,4508,1698,786,up
70,81,15066,11483,6089,10496,6237,4415,2264,1898,up
67,77,7355,2637,14179,22821,7473,5694,2681,1892,up
70,63,20774,10670,13887,6028,5063,9342,2369,2571,up
74,67,8847,12248,15359,4901,4355,13220,3388,1860,up
80,66,34487,9030,8829,10329,4970,9798,1963,1541,up
75,56,12495,5571,3831,10982,4623,4873,3654,2667,up
48,35,2761,4380,12415,5515,3889,9305,3841,1176,up
48,16,19393,17871,8979,8602,7653,3508,2275,1669,up
41,17,75642,34284,15986,4740,6395,2074,3628,2941,up
37,41,372542,101577,25171,7768,5484,20150,6045,3366,up
64,48,27042,21914,4721,7305,6659,4356,2228,2216,up
80,51,61904,34003,8677,25978,8490,7738,3270,1080,up
77,56,4371,9566,23875,9074,3565,5523,1618,1798,up
77,40,42131,15956,6795,9361,11031,12894,3107,2679,up
69,37,10998,10929,8295,5201,14772,7290,2064,1448,up
43,57,14083,11255,7363,9830,3058,5981,2671,1811,up
47,57,14814,24658,15788,11268,4173,10080,3770,2205,up
53,54,7012,16217,486,11315,6529,8630,6732,5371,up
61,63,12670,13572,38003,9187,4687,14859,3076,3646,up
70,54,22145,15040,12216,8909,4459,3996,3385,1304,up
67,44,7743,15428,4364,10322,5012,5221,2463,2511,up
64,37,77285,14514,5306,20695,15875,11543,2807,2077,up
56,27,25057,8940,1895,20234,5702,13527,6393,2939,up
53,20,156013,49618,19610,12281,7843,5591,6801,5689,up
74,11,31259,21901,9471,5043,3904,12100,2431,5957,up
74,30,453203,59505,20612,8120,17158,11755,3060,2739,up
69,43,47567,31086,16706,9058,7856,12606,4220,3291,up
77,53,18999,10899,3898,6457,11040,11461,4461,4192,up
67,56,23121,7023,15225,18843,4939,15954,2164,3967,up
64,43,7249,7177,2077,10996,2876,9302,2433,1391,up
63,29,17634,5478,14105,3865,6160,6993,3328,3465,up
61,17,17947,9810,3366,9097,5447,21059,2155,3337,up
64,35,31156,29475,18408,5281,4125,5811,2618,2534,up
66,34,12517,30414,6218,5571,5390,4265,4060,2354,up
81,27,8272,7040,5498,9078,5346,17306,9362,2027,up
81,29,68584,10323,10613,10871,10440,2534,3263,2879,up
74,21,131542,22844,12457,8099,4459,10686,3590,3130,up
80,23,41378,15631,9034,2827,10793,26857,4805,1572,up
66,37,49869,18509,11754,5251,8480,3518,4578,2563,up
60,47,11888,10316,11190,4029,3941,13054,1915,2939,up
63,53,50891,26620,14151,8708,8251,5567,3554,1148,up
61,64,5610,37980,14134,10508,8666,7543,3491,1750,up
61,50,37769,13869,8986,18175,6969,5451,4242,899,up
50,41,58434,8435,6861,11191,4870,11007,4226,2236,up
43,30,67740,8239,16440,13599,6090,11693,4590,4008,up
44,27,58482,46164,1796,6591,7174,7935,4810,825,up
44,60,9753,8408,3452,10476,1603,13577,2916,4445,up
63,60,11257,24100,10086,3944,3930,10261,4316,1448,up
66,56,39940,4762,9094,3332,3291,4970,1991,1675,up
60,63,34313,4404,21736,10296,4793,16845,1851,937,up
63,53,44501,7180,2880,10999,6199,9784,2002,1707,up
60,57,50062,14684,2066,3697,2373,4488,4076,3635,up
57,75,37745,12195,26147,14817,5814,9702,1765,2156,up
63,54,9478,9627,7401,5453,3731,5012,3072,3353,up
51,41,25148,8138,12820,10522,7389,13546,1525,1524,up
38,41,20112,30228,20592,16476,7447,7501,4691,4451,up
41,43,13173,21906,5846,8513,5702,9138,2826,1896,up
35,27,9812,45352,9356,9968,5593,12323,4021,1149,up
23,26,37030,52316,40269,14648,9037,11851,2098,1236,up
43,11,28807,17397,12502,12998,5896,3431,2355,1038,up
47,10,47698,71106,7858,5295,7844,20700,5700,3935,up
54,30,1746954,134954,25062,11862,5943,12115,14882,11280,up
74,50,90088,39462,8833,7640,19935,10205,4870,8406,up
61,67,74633,11701,8725,6320,5127,4753,2797,2061,up
38,50,57550,14642,8053,13747,6381,13284,5122,6231,up
38,64,26821,11052,16394,8280,4969,10494,2477,2592,up
43,56,7642,12076,10467,9387,4638,6590,2417,1410,up
56,51,561828,170592,18797,18537,6582,4765,4345,3871,up
74,67,20499,11130,24448,10762,8688,4586,2547,2519,up
69,50,6724,12863,10565,2533,4308,5266,2405,1953,up
74,51,5440,6176,8937,3526,8067,8211,1598,1060,up
60,56,16869,9416,4329,7934,2123,3868,2151,809,up
56,40,16452,19818,3006,11085,5368,5695,3611,1845,up
47,30,13734,6541,8584,5269,4367,9954,3538,1991,up
40,30,10004,6952,10519,2018,3230,5059,1473,2917,up
56,26,159153,18743,1556,3531,1895,3438,696,301,up
63,41,450720,97657,12065,18826,9166,26047,4318,5721,up
78,61,55410,20500,17291,10118,6556,11471,2001,7476,up
83,56,29983,5071,4106,9337,11835,7945,985,2052,up
60,60,25379,18932,14473,10865,5193,13998,3005,4058,up
60,57,31436,15214,25189,5035,9465,7587,9782,4257,up
60,54,16235,29658,14300,8975,10507,10203,3292,1244,up
54,56,36869,16868,11082,8911,3632,5722,3797,1695,up
57,51,28251,14153,12399,2673,3675,9456,4621,3097,up
64,56,23098,8963,7948,6035,5052,6100,7134,1751,up
57,61,15453,29487,14866,7163,7376,6937,5600,4665,up
66,51,33937,17264,12836,5897,4938,10937,5679,3513,up
67,60,11835,13810,13907,4822,6230,5253,4377,3518,up
83,51,45107,15641,18714,6591,5144,5735,6406,2876,up
80,38,22746,15751,6532,2340,6818,9672,4562,4204,up
77,47,24920,8875,20760,11047,5913,18238,2836,1297,up
69,47,6063,8031,7442,8946,20544,9137,4821,2289,up
61,48,18198,49999,7867,15039,7795,4484,3828,2865,up
69,54,8130,7155,3610,6811,4696,10546,1990,4147,up
61,57,10049,13996,16710,10928,5017,11585,1367,1284,up
56,67,8195,9008,7625,9434,9260,15616,6611,3711,up
51,63,11702,12451,6386,7822,6627,4861,1782,945,up
50,69,7657,14621,7830,8805,4545,9057,2986,1650,up
51,66,17058,8962,28516,7105,3434,7935,1314,2072,up
50,38,25540,9558,1747,6604,4207,10902,2352,645,up
50,43,1908,6383,15830,5703,5413,11573,2164,2010,up
66,27,19749,19183,6956,7054,5490,2772,3647,2109,up
60,40,24704,58313,9452,10806,5879,6956,4476,7442,up
75,54,21871,8889,4149,6278,4700,7559,4004,1835,up
70,61,13530,5524,4524,6164,11473,16734,1542,2844,up
53,78,19132,10321,17659,6129,3081,6810,3054,1708,up
64,74,9946,9865,6476,14505,8570,8502,2804,2240,up
56,67,20342,10116,11244,9778,6281,9191,2103,1616,up
60,69,12950,8581,8232,9867,4057,4929,3287,2489,up
63,69,8752,9610,3847,10513,5873,4790,1113,3252,up
66,60,7461,14743,2836,13964,4438,11847,7050,1219,up
70,47,12495,7131,12590,6772,6300,6659,3561,982,up
75,38,8425,10486,10540,14456,6925,10735,3288,2665,up
64,43,4278,24393,6316,11142,13733,7686,2886,2841,up
63,51,40026,18441,3458,4206,5430,8683,5695,1638,up
67,75,18642,10352,2316,11610,7672,7328,1842,2462,up
61,78,37202,13831,12613,17433,3645,6173,2806,3996,up
70,80,9908,8194,19358,5954,8872,19085,1953,2552,up
69,70,14632,3302,12576,8092,7971,8662,3601,2318,up
60,47,3349,7544,9965,3414,3674,8169,2479,3299,up
61,30,12376,7248,27298,15368,9374,11576,3248,1396,up
61,16,17854,20568,10172,4471,7731,8777,735,978,up
53,26,107820,57562,3682,10594,12014,6458,8234,5007,up
66,41,416435,162274,42491,14223,41563,12209,9221,10246,up
63,56,21848,17972,4109,17682,7884,13480,3981,1127,up
74,53,18950,11382,14777,4808,3517,10917,5337,1002,up
91,40,5032,3532,7157,8781,9766,19072,2061,2889,up
87,38,4009,13045,10920,7543,4534,8200,2044,2906,up
91,43,13705,4496,4354,2140,5491,5105,1942,1457,up
69,51,41436,7040,3168,7641,8621,17925,1471,1448,up
44,48,4738,10329,3194,6538,6538,6983,3580,2345,up
38,63,1380,8079,11136,7496,5747,4514,908,1492,up
38,61,12852,38417,32854,11983,6715,10937,1779,2601,up
44,60,64342,63538,10970,8464,5691,10401,3121,1169,up
41,51,5151,8769,19139,7244,6357,6081,6455,3203,up
37,54,4845,4693,12673,5114,4146,7857,3316,2031,up
24,66,4347,7144,9359,6107,3217,13257,2969,1538,up
40,53,58846,25594,2327,1457,1611,2812,575,339,up
61,74,11280,3839,18018,7560,3575,7957,3470,1306,up
64,67,13859,6279,35606,20301,5220,14278,2095,3366,up
74,53,7997,8784,5326,6518,9592,20847,1705,1970,up
47,60,8192,9713,2831,9064,6999,6618,3101,1372,up
37,54,7925,9632,10164,19066,6076,12057,2448,1633,up
35,54,19540,7782,15189,3239,4541,10752,4759,841,up
38,48,176375,136049,42761,27283,8904,11196,8322,916,up
56,51,26850,49644,6448,19778,11742,6241,5133,1708,up
60,74,25766,9601,16304,8340,4510,8727,2809,3088,up
61,60,20879,8759,4148,6260,4513,7515,1946,1965,up
67,60,8664,5823,5002,8748,4324,13650,3074,3567,up
61,69,23654,2581,14601,14520,6258,10554,1780,2332,up
70,61,5825,20257,3555,10215,4736,6976,3271,4369,up
75,60,16856,20366,17793,4735,16621,8275,3903,2860,up
70,64,21410,14057,20940,13303,6228,9758,2525,2391,up
87,41,13443,5847,6227,7058,7762,1173,3544,2839,up
69,26,52651,46614,23647,3588,13666,10693,3963,1908,up
54,27,5367,14837,26048,9782,15505,19099,3098,2773,up
48,20,4781,9796,1530,4029,6757,6040,2934,1051,up
35,35,15740,8852,2672,1183,1296,3453,729,627,up
35,44,12921,33792,10126,8310,2614,6235,5822,4596,up
48,51,10552,20326,4574,8097,6757,9689,1664,3738,up
38,44,15133,10402,8170,10608,4572,13252,1738,1569,up
34,44,7977,20553,11824,12200,4440,13525,4952,2811,up
30,60,18449,15740,15959,5691,5758,6661,1285,2445,up
30,44,137157,124809,9950,26896,12704,34307,5322,7652,up
38,56,18420,18250,15088,5425,3965,6333,2903,3939,up
50,60,6176,18131,20976,16695,4931,3186,6637,2913,up
60,54,39655,25321,3102,6999,5134,4523,3041,3845,up
64,77,17512,19600,2373,16615,5692,19744,2905,3436,up
67,81,173120,4618,11300,8353,6102,8192,5090,2475,up
61,74,4881,4076,9556,9683,5261,7457,2047,1505,up
54,67,7232,2109,14214,8729,5460,9005,2193,1986,up
51,60,14239,10807,10749,7394,6088,9855,4236,3507,up
51,63,6894,17268,10739,7817,5181,10622,3944,2063,up
51,61,2877,6610,7397,7278,2785,10868,3621,2429,up
56,56,12094,8519,18269,14890,7464,31422,6059,615,up
56,61,13310,16804,12558,11349,6802,6545,6183,3541,up
60,57,6887,22717,6615,10491,7077,6592,5197,1297,up
56,64,12571,14374,8027,2703,5166,2797,2365,2057,up
51,61,15691,15915,30375,9860,10965,6695,3319,1922,up
43,47,16091,15293,14778,6663,8421,8926,4994,2690,up
37,27,12988,12290,17988,4374,4327,10344,3539,2810,up
34,34,4718,30451,12853,4586,6532,5844,1944,2779,up
35,44,278022,30183,15832,2334,4423,12406,3361,1126,up
47,60,8412,58325,11048,2560,9512,11532,1954,6218,up
44,78,43229,13320,15212,9287,3707,4604,6306,4394,up
50,77,9541,12189,20591,5716,6788,8555,2575,2391,up
50,75,8920,9048,12050,25177,12679,10586,2365,3321,up
53,51,17796,22347,10654,12935,5601,5865,1217,2331,up
51,63,11294,17350,15170,13115,5789,6386,2524,2102,up
51,60,11963,11709,14849,10448,6931,10437,1854,1562,up
30,47,13193,23644,2375,8813,10471,14738,1413,1963,up
1,57,3024,19355,21393,21107,5973,5094,2344,1321,up
3,64,4479,17799,15346,7164,5436,5708,2679,2305,up
7,64,66135,54325,12531,13109,2953,11067,5492,3199,up
30,66,22985,150802,50771,43487,6176,34714,5083,3263,up
53,66,6703,7598,17385,20435,3967,5110,2592,1128,up
53,37,3192,11432,4904,13917,5017,10178,885,1514,up
48,29,14489,33226,18484,10969,15777,24643,5982,2476,up
54,35,15596,29548,12730,6954,6937,7515,3251,2101,up
64,43,6057,22115,4708,5567,2918,15813,1818,2232,up
61,61,21812,53216,13910,16084,8194,6727,2733,1389,up
77,47,6514,5081,8499,3634,7912,4124,4126,2681,up
75,44,21782,5503,17643,13739,12208,22216,3926,2609,up
84,41,13476,20394,16328,13508,3526,6115,6082,2746,up
97,37,155103,29250,2009,5952,13363,13774,6131,5190,up
93,57,9515,18948,13393,9135,16033,5200,20204,8026,up
88,57,13621,7914,11559,19068,25970,14913,3349,3730,up
75,47,24961,12866,2218,14135,5882,4952,2222,1414,up
75,50,8148,10867,9472,10313,7201,9959,1465,1627,up
69,54,2738,18145,10222,9684,9404,8415,7189,2064,up
57,51,6999,54086,11672,10676,16693,8838,3404,1486,up
53,64,3724,16667,12190,21610,9961,13280,1898,1361,up
48,74,6834,8212,8686,7189,3904,3283,2419,1684,up
40,61,10240,35460,8630,10407,5437,5664,1638,4141,up
