att,rlx,del,the,lal,hal,hbe,lbe,lga,mga,result
81,50,24626,18997,11967,14037,6157,16123,2846,1729,left
100,37,24659,32972,19388,6579,2032,3302,1593,896,left
47,48,27554,56564,5572,11971,12987,8710,5565,1475,left
90,57,35516,49930,20959,13484,6425,15597,2870,1611,left
48,21,38494,116077,7218,18595,19573,26318,10821,2181,left
80,44,41082,37691,12778,13396,1938,3363,1639,1763,left
43,20,45414,29271,2563,5629,2641,5939,2810,1194,left
48,38,48253,43159,21369,27774,6249,8793,3578,1699,left
83,47,48835,24701,30449,12156,11242,17586,4486,4915,left
63,34,49863,67230,10190,1459,3852,4016,5312,2513,left
69,47,50152,87742,609,2462,1757,6548,1590,506,left
96,64,50248,84276,29051,10903,9633,5985,2760,1680,left
66,26,54938,138614,4409,3318,2434,2153,3788,1140,left
53,11,57045,64211,3522,3966,4478,14392,1442,1758,left
43,23,57116,99258,28009,5729,10814,9977,4581,2639,left
97,66,57331,57972,26209,2953,8580,17747,3005,2944,left
75,23,59908,95457,9535,16693,10277,33069,2766,2623,left
61,10,61168,119038,17785,5304,10940,15396,5936,5440,left
75,60,61884,49782,10198,11810,7200,24404,2558,1730,left
54,40,62108,75622,7967,8245,5976,15920,6474,2259,left
63,47,62286,116597,14229,16020,6474,6531,5648,5100,left
41,40,63375,84150,8800,15405,7177,10203,8579,2244,left
50,29,64110,126031,13133,37581,15754,14609,3625,3010,left
44,1,66677,41171,7895,21063,4786,16404,2710,5138,left
44,1,67746,185865,35129,9908,14577,9001,12013,6747,left
51,17,68121,186098,12462,21764,10523,10726,4099,5517,left
90,29,69181,84105,6608,5301,2791,9792,1163,656,left
54,30,71263,74951,21848,30085,6968,25486,4255,2860,left
88,30,73009,39438,4800,6890,1467,5695,1159,350,left
61,21,73043,18510,9140,1125,1072,1636,576,709,left
75,50,73288,88223,11407,3316,4496,8140,2216,6130,left
47,1,77866,79805,87177,14587,8768,12088,2182,3238,left
47,14,77909,43419,29491,21476,10144,18754,2985,1537,left
61,7,78459,155972,19499,10166,11457,9683,9469,3393,left
74,35,78751,52420,7028,17778,8462,20255,5669,5703,left
69,11,79122,63952,21459,9908,6760,8247,1493,2295,left
96,29,81051,27696,6314,1203,2560,8069,1765,637,left
61,56,81401,64983,63866,19157,8063,21753,8545,5716,left
54,37,85007,47028,22021,8798,4707,15786,2776,4489,left
56,29,85821,51865,4164,14440,10197,20948,6199,1650,left
60,29,88591,241120,43314,26094,10162,12511,2591,3137,left
53,41,89174,70754,3584,5349,2612,4281,695,1927,left
54,27,89857,15685,10481,20831,6993,26548,8605,2153,left
50,27,91130,72942,38859,22472,10072,15594,13822,2566,left
56,44,91514,90590,8158,8540,4040,5121,1669,857,left
64,29,91835,162312,766,13113,6988,9877,2702,4252,left
83,38,92337,31775,13769,4579,4172,5511,633,1434,left
54,54,102000,171027,15223,9812,15089,12583,3013,2083,left
77,13,102838,227855,6552,33196,11141,19689,2988,1655,left
56,14,105081,113537,18930,2807,7629,7125,4370,1808,left
100,30,105645,48402,3034,3048,3594,6489,2008,605,left
54,17,105827,181953,6992,5412,11280,8038,10016,3885,left
90,41,107523,11145,6086,2624,2708,3321,1608,355,left
41,23,109903,45413,1431,2710,3084,2646,1505,966,left
60,54,110737,128155,15820,24200,10532,12561,3621,3757,left
94,1,111330,120516,51374,41298,16361,31795,6940,1971,left
54,7,112507,409774,27131,29399,15242,20796,8934,5380,left
80,48,113627,32214,13885,3298,3483,2410,1283,2757,left
61,30,115138,45420,12955,30864,10397,10502,3797,1783,left
50,27,115904,322903,24052,40049,13117,35988,9100,6390,left
60,61,116397,137195,9818,33560,13271,32882,2459,4251,left
64,61,118307,67785,21759,39534,19708,12219,5822,2878,left
61,27,118746,72114,8554,4625,2390,9167,2422,1669,left
100,23,119196,17536,3031,8678,2239,6191,976,1152,left
93,66,119719,112613,11750,18344,7353,17437,4627,2869,left
100,51,119948,148100,21113,22699,8493,18908,4356,2824,left
88,41,122254,102060,31941,8546,4372,9356,2602,1479,left
54,38,123256,41728,19360,5580,4019,4129,2251,372,left
100,29,124769,148884,2653,20267,5681,20145,3288,2053,left
100,30,125803,124875,53295,76137,15025,20674,2396,2831,left
56,51,128639,212468,7595,13775,27858,15314,4858,3403,left
61,21,134776,191214,72366,20632,17456,22296,1996,2311,left
91,3,136174,33920,9949,5647,4444,10256,2154,2843,left
53,29,139764,11349,8743,2045,3236,1546,1141,893,left
54,40,140358,119577,19046,9378,15063,7801,2889,2580,left
51,34,143652,32169,3006,7839,1618,6419,2590,712,left
83,38,144412,189479,29325,20452,10337,15803,5505,3823,left
90,61,145785,16076,36739,6265,10572,19260,2940,2996,left
87,44,151235,29431,5069,6455,2507,1325,2456,1161,left
93,44,153435,151496,60055,37210,7934,29168,6010,4686,left
81,23,155188,55199,33054,30090,9589,17959,6739,4627,left
77,48,158872,130897,31588,7501,6533,4199,2396,1171,left
100,27,159136,33021,79761,28574,9044,15436,7983,4789,left
61,10,160451,65833,57256,13162,7389,6671,5221,4062,left
67,47,165583,48142,77270,11157,8518,18880,6429,2019,left
60,21,169350,65912,25040,37858,18442,31477,8249,1954,left
64,44,173763,14239,1857,3887,445,535,774,138,left
